net,length_um
net22,1270.045
_23792_,1085.82
net16,991.46
_25574_,972.29
net5,962.87
_26159_,872.02
net12,865.88
net8,840.36
_26306_,838.08
_25575_,827.85
net3,818.76
clk,803.34
_26680_,797.16
_26325_,792.62
_25931_,791.59
_25940_,779.31
_25867_,759.94
net19,757.14
_23820_,743.07
_26626_,733.49
net4,721.48
_26160_,702.92
net21,702.175
_23196_,643.41
_26635_,635.62
_26307_,635.28
net18,630.42
net13,628.56
_26598_,627.74
_20904_,624.56
_25556_,611.82
_25363_,605.58
clknet_6_58__leaf_clk,598.52
net11,590.36
clknet_6_23__leaf_clk,559.99
_24351_,551.44
_24353_,544.505
clknet_0_clk,538.26
_25426_,532.4
_26662_,532.39
_25565_,525.93
_24350_,524.375
_26086_,520.5
_20111_,518.85
_26297_,513.77
_26525_,509.08
_19826_,508.095
net9,506.7
clknet_6_60__leaf_clk,503.98
_25441_,497.56
net15,495.775
clknet_6_61__leaf_clk,495.39
_24200_,493.86
_25547_,493.21
_25399_,493.05
_24366_,491.985
_20903_,489.86
_25537_,487.33
_26316_,485.9
_26379_,484.34
_26330_,482.52
clknet_2_2_0_clk,479.08
_25959_,478.24
_25538_,473.33
clknet_6_16__leaf_clk,472.94
_26233_,472.88
_19103_,471.25
_26644_,470.74
net10,469.46
clknet_6_34__leaf_clk,465.79
clknet_6_38__leaf_clk,465.2
clknet_2_0_0_clk,464.32
_23797_,464.22
_25904_,464.13
_25365_,463.86
_25936_,463.46
_24374_,462.17
_20079_,459.47
_19937_,458.76
_25408_,458.58
clknet_6_51__leaf_clk,458.29
clknet_6_18__leaf_clk,458.28
clknet_6_62__leaf_clk,457.88
_26270_,457.44
clknet_2_1_0_clk,452.84
_25442_,452.78
_19818_,451.57
clknet_6_56__leaf_clk,451.48
_26279_,447.94
clknet_6_27__leaf_clk,446.69
clknet_2_3_0_clk,445.24
clknet_6_29__leaf_clk,442.97
clknet_6_11__leaf_clk,442.4
_25367_,442.13
_23195_,441.2
net1,437.36
_25463_,435.1
_25159_,433.85
_26653_,433.14
_25905_,431.95
clknet_6_2__leaf_clk,431.89
clknet_6_45__leaf_clk,431.19
_26689_,429.92
clknet_6_0__leaf_clk,428.2
_20037_,427.03
_19942_,427.02
_25354_,426.82
clknet_6_47__leaf_clk,426.43
_20090_,425.06
_20015_,424.41
net17,423.74
clknet_6_35__leaf_clk,421.02
_25473_,420.255
_19962_,418.11
_26690_,416.82
_19883_,416.73
clknet_6_59__leaf_clk,415.5
_25469_,415.46
_25913_,412.4
clknet_6_33__leaf_clk,410.96
clknet_6_24__leaf_clk,410.41
clknet_6_15__leaf_clk,409.97
_20058_,409.57
_20951_,409.5
clknet_6_39__leaf_clk,408.33
net20,408.02
clknet_6_50__leaf_clk,406.38
clknet_6_43__leaf_clk,406.34
_25721_,405.7
_26740_,404.53
_26738_,404.51
clknet_6_37__leaf_clk,404.49
_25360_,403.92
clknet_6_25__leaf_clk,403.8
clknet_6_20__leaf_clk,403.7
_26734_,403.65
clknet_6_46__leaf_clk,403.12
clknet_6_48__leaf_clk,402.78
_24562_,402.71
_20032_,402.48
_24532_,401.76
clknet_6_10__leaf_clk,401.16
_23824_,400.78
_25950_,400.75
clknet_6_22__leaf_clk,400.185
_25585_,399.05
_26288_,398.1
clknet_6_7__leaf_clk,392.4
_25390_,391.82
clknet_6_55__leaf_clk,390.92
_19119_,390.3
_25923_,388.22
_20169_,387.76
_20063_,386.94
_20902_,386.57
_26736_,386.55
_25932_,385.96
_25595_,385.82
_26729_,384.94
_19868_,384.77
_19875_,384.54
clknet_6_14__leaf_clk,383.35
_26326_,382.2
clknet_6_13__leaf_clk,381.59
clknet_6_32__leaf_clk,381.18
clknet_6_63__leaf_clk,380.91
_20147_,380.87
_25648_,380.83
_25347_,379.64
clknet_6_49__leaf_clk,377.84
clknet_6_4__leaf_clk,375.55
_25794_,374.34
_26261_,373.06
_26783_,372.09
_24193_,371.96
_20935_,371.87
_26731_,371.26
_26769_,370.565
clknet_6_1__leaf_clk,370.17
_25941_,369.82
_25412_,368.8
_27409_,367.72
_26767_,367.33
clknet_4_10_0_clk,364.01
clknet_6_40__leaf_clk,363.34
_19909_,363.31
clknet_6_17__leaf_clk,363.29
_19852_,362.37
_26787_,361.06
_26789_,360.78
_27371_,360.08
_26727_,358.95
clknet_6_3__leaf_clk,358.26
_20930_,357.4
clknet_6_8__leaf_clk,356.69
_25603_,356.58
clknet_6_5__leaf_clk,356.51
_20027_,355.75
clknet_6_26__leaf_clk,355.6
